movieId,imdbId,tmdbId,rating_mean,rating_counts,production_countries,imdb_id,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,if_have_writers,profit,if_profit
1,114709,862.0,3.893707794587238,57309,United States of America,tt0114709,30000000.0,en,154.891,1995-10-30,373554033.0,81.0,8.0,14764.0,1,343554033.0,1.0
2,113497,8844.0,3.2515271586594023,24228,United States of America,tt0113497,65000000.0,en,15.393,1995-12-15,262797249.0,104.0,7.2,8615.0,1,197797249.0,1.0
3,113228,15602.0,3.142028126058963,11804,United States of America,tt0113228,25000000.0,en,11.817,1995-12-22,71500000.0,101.0,6.5,271.0,1,46500000.0,1.0
4,114885,31357.0,2.85354736424891,2523,United States of America,tt0114885,16000000.0,en,10.593,1995-12-22,81452156.0,127.0,6.3,109.0,1,65452156.0,1.0
6,113277,949.0,3.854908898649748,24588,United States of America,tt0113277,60000000.0,en,31.538,1995-12-15,187436818.0,170.0,7.9,5172.0,1,127436818.0,1.0
7,114319,11860.0,3.3636663369601054,12132,Germany,tt0114319,58000000.0,en,13.364,1995-12-15,53672080.0,127.0,6.1,437.0,1,-4327920.0,0.0
9,114576,9091.0,2.992050660199407,3711,United States of America,tt0114576,35000000.0,en,11.435,1995-10-27,64350171.0,106.0,5.9,516.0,1,29350171.0,1.0
10,113189,710.0,3.42145763311516,28265,United Kingdom,tt0113189,58000000.0,en,26.6,1995-11-16,352194034.0,130.0,6.9,2958.0,1,294194034.0,1.0
11,112346,9087.0,3.657170519892032,17042,United States of America,tt0112346,62000000.0,en,8.928,1995-11-17,107879496.0,114.0,6.6,523.0,1,45879496.0,1.0
12,112896,12110.0,2.6245656241646618,3741,France,tt0112896,30000000.0,en,14.856,1995-12-22,10772144.0,88.0,6.0,696.0,1,-19227856.0,0.0
14,113987,10858.0,3.4234888364494465,5509,United States of America,tt0113987,44000000.0,en,9.2,1995-12-22,13681765.0,192.0,7.0,243.0,1,-30318235.0,0.0
15,112760,1408.0,2.7190217391304348,2760,France,tt0112760,98000000.0,en,13.446,1995-12-22,10017322.0,124.0,5.8,388.0,1,-87982678.0,0.0
16,112641,524.0,3.8237068028689416,18404,France,tt0112641,52000000.0,en,22.712,1995-11-22,116112375.0,179.0,8.0,4233.0,1,64112375.0,1.0
17,114388,4584.0,3.948806325713417,19729,United Kingdom,tt0114388,16000000.0,en,15.515,1995-12-13,134582776.0,136.0,7.5,1267.0,1,118582776.0,1.0
18,113101,5.0,3.3843505768515074,5374,United States of America,tt0113101,4000000.0,en,11.912,1995-12-09,4257354.0,98.0,5.7,2051.0,1,257354.0,1.0
19,112281,9273.0,2.6421677802524126,21552,United States of America,tt0112281,30000000.0,en,27.224,1995-11-10,212385533.0,90.0,6.3,3192.0,1,182385533.0,1.0
20,113845,11517.0,2.869921875,3840,United States of America,tt0113845,68000000.0,en,11.887,1995-11-21,77224232.0,110.0,5.8,571.0,1,9224232.0,1.0
21,113161,8012.0,3.570162050545405,22277,United States of America,tt0113161,30250000.0,en,10.568,1995-10-20,115101622.0,105.0,6.5,748.0,1,84851622.0,1.0
22,112722,1710.0,3.3200173216412256,9237,United States of America,tt0112722,20000000.0,en,8.451,1995-05-03,32000000.0,124.0,6.5,684.0,1,12000000.0,1.0
23,112401,9691.0,3.145691333982473,4108,France,tt0112401,50000000.0,en,17.829,1995-10-06,30303072.0,132.0,6.4,1146.0,1,-19696928.0,0.0
25,113627,451.0,3.677304434479322,20070,United States of America,tt0113627,3600000.0,en,15.574,1995-10-27,49800000.0,111.0,7.3,1002.0,1,46200000.0,1.0
27,114011,9263.0,3.4039315155358274,1577,United States of America,tt0114011,12000000.0,en,7.225,1995-10-20,27400000.0,100.0,6.9,328.0,1,15400000.0,1.0
29,112682,902.0,3.936724864539434,8305,Spain,tt0112682,18000000.0,fr,13.661,1995-08-17,1738611.0,108.0,7.4,762.0,1,-16261389.0,0.0
31,112792,9909.0,3.244838567977158,9106,United States of America,tt0112792,23000000.0,en,16.232,1995-08-11,179519401.0,99.0,6.9,828.0,1,156519401.0,1.0
32,114746,63.0,3.905767841203724,47054,United States of America,tt0114746,29000000.0,en,27.243,1995-12-29,168841459.0,129.0,7.6,6546.0,1,139841459.0,1.0
34,112431,9598.0,3.603191759918616,31456,Australia,tt0112431,30000000.0,en,21.713,1995-07-18,254134910.0,91.0,6.2,2284.0,1,224134910.0,1.0
36,112818,687.0,3.91868681658758,19388,United States of America,tt0112818,11000000.0,en,9.667,1995-12-29,39363635.0,122.0,7.4,996.0,1,28363635.0,1.0
39,112697,9603.0,3.4187380861608845,26230,United States of America,tt0112697,12000000.0,en,29.821,1995-07-19,56631572.0,97.0,7.3,3300.0,1,44631572.0,1.0
42,112819,11443.0,3.0495652173913044,2300,United States of America,tt0112819,10000000.0,en,8.694,1995-10-06,24147179.0,119.0,6.6,201.0,1,14147179.0,1.0
44,113855,9312.0,2.6546241414996707,10629,United States of America,tt0113855,18000000.0,en,26.695,1995-08-18,122195920.0,101.0,5.8,1677.0,1,104195920.0,1.0
45,114681,577.0,3.382907947260191,8267,Canada,tt0114681,20000000.0,en,8.967,1995-09-22,21284514.0,106.0,6.6,561.0,1,1284514.0,1.0
46,113347,11861.0,3.2634129456559364,2889,United States of America,tt0113347,10000000.0,en,9.462,1995-10-06,41200020.0,116.0,6.3,130.0,1,31200020.0,1.0
47,114369,807.0,4.079166337259863,50596,United States of America,tt0114369,33000000.0,en,38.187,1995-09-22,327311859.0,127.0,8.3,16168.0,1,294311859.0,1.0
48,114148,10530.0,2.9777505385929723,13461,United States of America,tt0114148,55000000.0,en,41.571,1995-06-14,346079773.0,85.0,7.0,4654.0,1,291079773.0,1.0
50,114814,629.0,4.284353213163313,55366,United States of America,tt0114814,6000000.0,en,18.362,1995-07-19,23341568.0,106.0,8.2,8172.0,1,17341568.0,1.0
52,113819,11448.0,3.532892426548051,8543,United States of America,tt0113819,15000000.0,en,11.66,1995-09-13,6700000.0,95.0,6.8,476.0,1,-8300000.0,0.0
61,116260,17182.0,3.3160919540229883,2088,United States of America,tt0116260,20000000.0,en,11.093,1996-01-12,26877589.0,101.0,6.1,237.0,1,6877589.0,1.0
62,113862,2054.0,3.715354676022366,18242,United States of America,tt0113862,31000000.0,en,8.42,1995-12-29,106269971.0,137.0,7.0,295.0,1,75269971.0,1.0
63,116126,10607.0,3.083904109589041,2336,United States of America,tt0116126,3800000.0,en,64.106,1996-01-12,20109115.0,89.0,6.9,839.0,1,16309115.0,1.0
65,115683,9536.0,2.37025520051469,4663,United States of America,tt0115683,8500000.0,en,8.916,1996-01-12,13400000.0,95.0,4.5,267.0,1,4900000.0,1.0
66,116839,11525.0,2.1376975169300225,2215,United States of America,tt0116839,15000000.0,en,7.149,1996-01-12,2409225.0,92.0,2.9,101.0,1,-12590775.0,0.0
69,113118,10634.0,3.5583216456287987,4278,United States of America,tt0113118,3500000.0,en,33.0,1995-04-26,28215918.0,91.0,7.1,1282.0,1,24715918.0,1.0
70,116367,755.0,3.326568919110356,14118,United States of America,tt0116367,19000000.0,en,26.615,1996-01-19,25836616.0,108.0,7.0,4606.0,1,6836616.0,1.0
71,113010,11859.0,2.34567387687188,1202,United States of America,tt0113010,50000000.0,en,11.024,1995-11-03,11534477.0,91.0,4.9,214.0,1,-38465523.0,0.0
75,115676,36929.0,2.429657794676806,526,Canada,tt0115676,15000000.0,en,5.293,1996-01-26,2042530.0,90.0,4.4,54.0,1,-12957470.0,0.0
76,114367,9102.0,3.010046367851623,3235,Germany,tt0114367,20000000.0,en,9.752,1995-09-08,5781885.0,108.0,6.2,376.0,1,-14218115.0,0.0
79,116731,9623.0,3.1199367713890536,5061,Iran,tt0116731,44000000.0,en,8.581,1996-02-02,22754725.0,118.0,5.5,264.0,1,-21245275.0,0.0
81,114660,400.0,3.2527435982707016,3007,Netherlands,tt0114660,8000000.0,en,7.549,1995-12-01,529766.0,116.0,6.6,278.0,1,-7470234.0,0.0
86,118158,10534.0,3.4766641162968632,3921,United States of America,tt0118158,38000000.0,en,9.89,1996-02-02,10300000.0,129.0,6.3,243.0,1,-27700000.0,0.0
89,113972,2086.0,3.1294022617124395,3095,United States of America,tt0113972,8169363.0,en,9.506,1995-11-22,8175346.0,90.0,6.2,517.0,1,5983.0,1.0
92,117002,9095.0,2.850047303689688,2114,United States of America,tt0117002,47000000.0,en,8.165,1996-02-23,12379402.0,104.0,5.9,238.0,1,-34620598.0,0.0
93,114825,12158.0,2.4919938016528924,1936,United States of America,tt0114825,14000000.0,en,8.805,1995-10-26,19800000.0,100.0,5.0,402.0,1,5800000.0,1.0
95,115759,9208.0,3.077245421955237,20642,United Kingdom,tt0115759,50000000.0,en,12.566,1996-02-09,150270147.0,108.0,6.0,1129.0,1,100270147.0,1.0
