movieId,ave_Movielen_score,sum_Movielen_rating,ave_TMDB_score,sum_TMDB_rating
1,3.893707794587238,57309,8.0,14764.0
2,3.2515271586594023,24228,7.2,8615.0
3,3.142028126058963,11804,6.5,271.0
4,2.85354736424891,2523,6.3,109.0
5,3.058434352057368,11714,6.3,531.0
6,3.854908898649748,24588,7.9,5172.0
7,3.3636663369601054,12132,6.1,437.0
8,3.114583333333333,1344,5.4,136.0
9,2.992050660199407,3711,5.9,516.0
10,3.42145763311516,28265,6.9,2958.0
11,3.657170519892032,17042,6.6,523.0
12,2.6245656241646618,3741,6.0,696.0
13,3.333527696793003,1715,7.3,1638.0
14,3.4234888364494465,5509,7.0,243.0
15,2.7190217391304348,2760,5.8,388.0
16,3.8237068028689416,18404,8.0,4233.0
17,3.948806325713417,19729,7.5,1267.0
18,3.3843505768515074,5374,5.7,2051.0
19,2.6421677802524126,21552,6.3,3192.0
20,2.869921875,3840,5.8,571.0
21,3.570162050545405,22277,6.5,748.0
22,3.3200173216412256,9237,6.5,684.0
23,3.145691333982473,4108,6.4,1146.0
24,3.18758389261745,7450,6.8,423.0
25,3.677304434479322,20070,7.3,1002.0
26,3.606708513142409,2549,6.7,111.0
27,3.4039315155358274,1577,6.9,328.0
28,4.03,2950,7.2,95.0
29,3.936724864539434,8305,7.4,762.0
30,3.6367924528301887,1166,6.7,57.0
31,3.244838567977158,9106,6.9,828.0
32,3.905767841203724,47054,7.6,6546.0
33,3.023076923076923,65,6.5,13.0
34,3.603191759918616,31456,6.2,2284.0
35,3.4792899408284024,1352,6.4,50.0
36,3.91868681658758,19388,7.4,996.0
37,2.993333333333333,75,4.3,3.0
38,2.870839936608558,631,6.4,701.0
39,3.4187380861608845,26230,7.3,3300.0
40,3.6267252195734,797,6.6,20.0
41,3.843413033286451,4266,6.8,126.0
42,3.0495652173913044,2300,6.6,201.0
43,3.4499566724436743,2308,6.4,83.0
44,2.6546241414996707,10629,5.8,1677.0
45,3.382907947260191,8267,6.6,561.0
46,3.2634129456559364,2889,6.3,130.0
47,4.079166337259863,50596,8.3,16168.0
48,2.9777505385929723,13461,7.0,4654.0
49,3.5197368421052637,228,6.2,51.0
50,4.284353213163313,55366,8.2,8172.0
51,2.607142857142857,28,5.4,6.0
52,3.532892426548051,8543,6.8,476.0
53,3.6496350364963503,137,7.3,42.0
54,2.8411316648531013,919,5.6,141.0
55,3.220329024676851,851,6.1,28.0
56,1.9153846153846157,65,3.7,3.0
57,3.320438282647585,2236,6.3,127.0
58,3.9679004101879234,10483,8.0,843.0
59,3.56353591160221,181,6.6,14.0
60,3.0958892617449663,5960,6.4,463.0
61,3.3160919540229883,2088,6.1,237.0
62,3.715354676022366,18242,7.0,295.0
63,3.083904109589041,2336,6.9,839.0
64,2.81395966029724,1884,4.9,67.0
65,2.37025520051469,4663,4.5,267.0
66,2.1376975169300225,2215,2.9,101.0
67,3.2975460122699385,163,5.9,39.0
68,3.4301601423487544,1124,6.1,239.0
69,3.5583216456287987,4278,7.1,1282.0
70,3.326568919110356,14118,7.0,4606.0
71,2.34567387687188,1202,4.9,214.0
72,3.4868532654792195,1179,6.4,131.0
73,3.796035568729159,2699,6.9,48.0
74,3.2880989180834623,3235,6.0,88.0
75,2.429657794676806,526,4.4,54.0
76,3.010046367851623,3235,6.2,376.0
77,3.4028436018957344,211,7.1,7.0
78,3.152790079716563,1129,6.0,187.0
79,3.1199367713890536,5061,5.5,264.0
80,3.749514563106796,515,7.7,58.0
81,3.2527435982707016,3007,6.6,278.0
82,3.992351398601399,2288,7.0,79.0
83,3.644320297951583,537,5.3,3.0
84,3.358156028368794,141,9.0,1.0
85,3.526833265055305,2441,6.6,36.0
86,3.4766641162968632,3921,6.3,243.0
87,2.349680170575693,938,5.4,167.0
88,3.107188160676533,4730,6.0,293.0
89,3.1294022617124395,3095,6.2,517.0
90,3.333333333333333,201,6.8,9.0
92,2.850047303689688,2114,5.9,238.0
93,2.4919938016528924,1936,5.0,402.0
94,3.5279255319148937,3760,6.7,262.0
95,3.077245421955237,20642,6.0,1129.0
96,3.7004504504504494,444,7.3,26.0
97,3.986233269598471,2615,8.1,2728.0
98,2.5963855421686746,83,5.6,32.0
99,3.101047904191617,668,6.5,13.0
100,3.2212201591511938,3770,6.0,179.0
101,3.7673501577287065,4438,6.8,769.0
102,2.4106463878327,1841,3.9,43.0
103,3.2552581261950286,1046,5.6,74.0
104,3.3943981240229286,19190,6.6,1956.0
105,3.3332222962469467,9006,7.7,1558.0
106,3.436,125,6.1,22.0
107,3.2168744804655027,6015,6.6,278.0
108,3.0739130434782607,115,7.4,7.0
109,2.0625,16,0.0,0.0
110,4.002272573668559,59184,7.9,7963.0
111,4.083479216009336,29133,8.2,8804.0
112,3.40623288921336,10958,6.8,699.0
113,3.101010101010101,990,6.1,123.0
114,3.5891304347826085,230,7.1,8.0
115,3.5348837209302326,43,6.9,102.0
116,3.911428571428572,875,7.9,13.0
117,3.574430823117338,1142,6.8,38.0
118,2.9854368932038837,1030,5.2,32.0
119,2.733739837398374,246,4.3,16.0
120,2.841549295774648,142,5.1,49.0
121,3.74869109947644,764,7.8,22.0
122,2.859392419175028,3588,5.6,423.0
123,3.991369390103568,2607,8.0,1041.0
124,3.4966442953020134,298,7.0,132.0
125,3.744196843082637,3231,6.3,172.0
126,2.318660647103085,1329,4.4,290.0
127,3.109756097560976,41,6.4,14.0
128,3.4859154929577465,71,7.2,5.0
129,3.13953488372093,172,6.6,10.0
130,3.2261904761904763,42,5.7,15.0
131,3.3106508875739644,169,5.7,8.0
132,2.777922077922078,1925,5.5,169.0
133,2.6,20,5.1,4.0
134,3.4516129032258065,31,6.8,4.0
135,3.001854349291976,5932,6.1,302.0
136,3.6277777777777778,90,5.8,5.0
137,3.254854368932039,206,3.2,3.0
138,3.227642276422764,123,6.1,13.0
139,3.111111111111111,36,0.0,0.0
140,3.287283110037338,4553,6.4,160.0
141,3.5101652454593637,20757,7.1,821.0
142,3.0135135135135136,37,8.0,1.0
143,1.9285714285714288,14,4.7,6.0
144,3.4649743714913352,4097,6.1,63.0
145,3.275515786183182,12796,6.8,4946.0
146,2.9029038112522687,551,5.7,68.0
147,3.5833728090952155,4222,7.4,1426.0
148,2.908955223880597,335,6.9,35.0
149,3.68669314796425,1007,6.7,52.0
150,3.87355561527172,48377,7.4,4268.0
151,3.53139284174213,11595,6.8,465.0
152,3.0869905956112853,638,6.5,176.0
153,2.8716600752387382,31101,5.4,4029.0
154,3.786777431637245,2889,7.5,578.0
155,3.408390410958904,1168,6.7,66.0
156,3.5088757396449703,1521,6.7,103.0
157,2.7942023026315788,2432,5.8,158.0
158,2.921479069028517,12589,6.3,3700.0
159,3.4178361249434133,2209,6.9,223.0
160,2.6022161264708004,13853,5.5,651.0
161,3.739861235452104,22340,7.2,1257.0
162,4.008077401029647,5633,7.7,173.0
163,3.439258581879572,14216,6.9,2159.0
164,3.4522562951882323,4011,6.3,254.0
165,3.506566659749192,33731,7.2,4771.0
166,2.84407027818448,683,6.3,169.0
167,3.076388888888889,72,6.3,6.0
168,3.081881687151826,11309,6.1,893.0
169,2.269546027742749,3172,6.0,445.0
170,3.215710400207227,7721,6.3,914.0
171,3.599845797995374,1297,6.8,42.0
172,2.7515630141493914,12156,5.7,979.0
173,2.555359804851606,14758,5.7,1823.0
174,2.449275362318841,1932,4.4,85.0
175,3.507799325463744,4744,6.9,805.0
176,3.849069450748978,2203,7.2,181.0
177,2.8892508143322475,2149,6.1,225.0
178,3.392935982339956,453,6.0,27.0
179,2.7305630026809653,1119,5.3,74.0
180,3.575782930910829,8366,6.8,915.0
181,1.9535250098463963,2539,5.7,504.0
182,3.0754716981132075,636,5.8,55.0
183,3.3623063683304646,581,6.5,90.0
184,3.0670926517571884,313,5.7,34.0
185,3.102854287948562,23018,6.0,971.0
186,2.8772434974565697,10419,5.7,507.0
187,3.4314285714285715,875,6.4,30.0
188,3.33347280334728,2390,6.5,358.0
189,2.991776315789474,304,8.0,3.0
190,3.578174186778594,953,7.0,193.0
191,2.684565916398714,1555,6.0,353.0
192,3.037974683544304,79,7.0,7.0
193,2.2478297395687483,7142,5.5,850.0
194,3.844293826708189,5459,7.2,322.0
195,3.077944179714091,2938,5.7,183.0
196,2.8360270915108137,12993,5.9,1180.0
197,3.055555555555556,99,6.4,12.0
198,3.417996761508212,8646,7.0,935.0
199,3.77007299270073,1507,7.4,505.0
200,2.8222222222222224,315,5.2,16.0
201,3.001457725947522,343,6.1,54.0
202,3.0543478260869565,414,6.5,388.0
203,3.1462450592885376,5060,7.3,465.0
204,2.926604922608475,7882,5.7,617.0
205,3.5,1213,5.8,20.0
206,3.448717948717949,936,5.6,14.0
207,3.3732562774013557,5018,7.2,690.0
208,2.8652335902399826,27377,6.1,2804.0
209,2.8105726872246697,681,5.0,54.0
210,2.887024608501118,447,5.8,84.0
211,3.584600760456274,526,6.5,28.0
212,2.5657276995305165,426,5.3,87.0
213,4.01654306902453,1753,7.1,114.0
214,4.026966292134832,890,7.5,101.0
215,3.914843512610149,6582,8.0,2986.0
216,3.2408267020335986,9048,6.2,1217.0
217,2.728191489361702,940,5.2,112.0
218,3.285843685300207,3864,6.4,154.0
219,3.606112054329372,589,7.9,227.0
220,2.4482758620689653,290,6.3,132.0
222,3.5284704131001114,5374,6.6,62.0
223,3.847214137214137,24050,7.4,1873.0
224,3.4449993597131514,7809,6.7,569.0
225,3.2840320910973086,11592,6.2,882.0
226,2.783783783783784,37,4.2,3.0
227,3.061828598710909,4189,5.6,302.0
228,2.69151376146789,436,5.1,26.0
229,3.5625,2256,7.2,339.0
230,3.588200326943082,6729,7.2,528.0
231,2.964968752944132,31843,6.6,4832.0
232,4.027935943060498,5620,7.5,200.0
233,3.533083645443196,3204,6.7,192.0
234,2.6703929539295395,2952,4.0,69.0
235,3.664388396868181,15582,7.5,1753.0
236,3.3150479880250066,11357,6.4,553.0
237,3.2214038128249567,5770,6.0,116.0
238,3.16579634464752,766,5.8,69.0
239,3.08521377672209,3368,6.9,1326.0
240,2.910783055198973,779,5.1,94.0
241,3.026119402985074,536,7.1,190.0
242,3.3855,1000,6.6,115.0
243,2.537735849056604,424,5.4,23.0
244,2.375451263537906,277,5.0,11.0
245,2.968619246861925,239,5.0,22.0
246,4.028236985316767,9739,7.7,225.0
247,3.8224384098544233,7144,7.0,672.0
248,3.008025122121424,2866,5.5,53.0
249,3.675253192426244,4542,7.1,245.0
250,3.07516339869281,918,6.2,275.0
251,3.057184750733138,341,5.9,76.0
252,3.215840517241379,9280,6.0,315.0
253,3.508920477209269,27577,7.4,4424.0
254,2.9111498257839723,574,5.1,32.0
255,2.277948717948718,975,4.3,23.0
256,2.7017581020970134,9442,5.1,1115.0
257,3.4075381140598533,3542,6.2,351.0
258,2.6281328320802007,1596,4.8,126.0
259,3.060162601626016,1845,5.6,224.0
260,4.120188599618726,68717,8.2,16371.0
261,3.627589063794532,9656,7.3,936.0
262,3.7653443113772456,4008,7.6,763.0
263,3.745923913043478,368,7.3,60.0
264,3.374233128834356,163,6.7,146.0
265,3.921667748817364,10781,7.2,348.0
266,3.5003490069166827,15759,7.4,1894.0
267,2.886744743146127,3757,6.3,564.0
268,3.306167400881057,681,6.5,125.0
269,3.4518181818181817,550,7.1,25.0
270,3.170042194092827,1185,5.4,43.0
271,3.334358523725834,1138,6.4,78.0
272,3.740050448430493,7136,6.8,169.0
273,3.132062978222484,6796,6.4,925.0
274,2.8387665198237886,1135,5.3,138.0
275,2.7166089965397924,1445,5.3,123.0
276,2.978864734299517,4968,6.2,197.0
277,3.404886867273152,8574,6.7,752.0
278,3.021194605009634,1038,5.5,35.0
279,3.697399527186761,846,7.8,44.0
280,3.717200854700855,4680,7.2,413.0
281,3.661371237458194,3588,6.9,199.0
282,3.409440492213036,10402,6.6,376.0
283,3.0472972972972974,222,6.1,31.0
284,2.8529411764705883,34,3.8,2.0
285,2.26875,80,3.6,5.0
286,2.066326530612245,98,4.1,27.0
287,3.2524590163934426,305,5.8,6.0
288,3.2577711853476075,23259,7.1,2588.0
289,3.3515018562267973,2963,6.8,386.0
290,3.9737263270205383,3749,7.4,271.0
292,3.4105008077544428,24760,6.5,1670.0
293,4.0885985748218525,33680,8.3,11541.0
294,3.16023166023166,777,6.4,28.0
295,2.770238095238095,420,5.0,8.0
296,4.188912039361382,79672,8.5,22222.0
297,3.1546184738955825,249,6.0,28.0
298,3.524229074889868,227,7.0,35.0
299,3.71598995395563,2389,6.5,85.0
300,3.66378901931884,18997,7.3,662.0
301,3.5239234449760763,418,6.1,17.0
302,3.7267721954576736,1453,7.3,238.0
303,3.043248622167789,6532,6.5,1243.0
304,3.1710122699386503,652,6.1,18.0
305,2.710305958132045,3105,5.3,143.0
306,4.072966846132049,7058,8.0,939.0
307,3.981408706166868,6616,7.7,1157.0
308,3.902458210422812,5085,7.5,795.0
309,3.622302158273381,417,6.7,6.0
310,2.8095238095238093,231,5.7,46.0
311,2.651315789473684,76,4.7,3.0
312,2.62125,1200,4.6,18.0
313,3.0378315132605302,1282,6.6,765.0
314,3.849933774834437,3775,6.7,54.0
315,2.8919378338999517,10295,5.8,944.0
316,3.371061145260433,30910,7.0,2542.0
317,3.128074747346342,15733,6.4,1491.0
318,4.413576004516335,81482,8.7,20259.0
319,3.775382785788613,6727,7.0,726.0
320,3.240802675585284,299,6.3,25.0
321,3.768585131894485,834,7.2,56.0
322,3.668214285714286,2800,6.6,225.0
324,3.672853828306264,431,7.1,43.0
325,2.646161934805468,951,5.7,63.0
326,4.079659706109823,1293,7.9,170.0
327,2.816469884920042,6691,5.4,344.0
328,3.146257031588057,2311,6.8,335.0
329,3.322669104204753,24615,6.5,978.0
330,2.7893992932862197,1415,6.1,102.0
331,3.264646464646465,495,5.8,18.0
332,2.773307163886163,2038,6.1,572.0
333,3.356478068558791,10852,6.8,712.0
334,3.816722408026756,1495,6.9,49.0
335,3.26171875,384,5.8,54.0
336,2.835205992509364,267,6.8,18.0
337,3.7512185215272136,17234,7.7,2998.0
338,2.9854872149274363,4341,5.4,395.0
339,3.4993894441680613,22111,6.9,1277.0
340,3.3774436090225564,1330,6.7,143.0
341,3.5639204545454546,352,6.6,10.0
342,3.507638565440149,10735,7.0,308.0
343,2.6692037470725998,854,5.4,67.0
344,2.9898406002189413,37453,6.5,4514.0
345,3.642062742629315,9531,7.4,556.0
346,3.409970958373669,1033,6.1,74.0
347,3.44702842377261,1548,7.0,477.0
348,3.695364238410596,7399,7.2,421.0
349,3.6551898004754015,27766,6.6,1075.0
350,3.466657593903103,14696,6.7,811.0
351,3.3049367850692355,3322,6.7,347.0
352,3.280944625407166,1228,6.8,99.0
353,3.517972748011591,16219,7.5,2911.0
354,3.135689354275742,1146,6.2,61.0
355,2.4127870563674323,9580,5.3,1900.0
356,4.048011436845787,81491,8.5,21736.0
357,3.640832678123479,26709,6.8,2019.0
358,3.2518072289156628,2075,6.4,153.0
359,3.296875,256,7.0,12.0
360,2.72088772845953,1915,5.4,154.0
361,3.326783114992722,4809,6.5,508.0
362,3.377949377949378,6993,5.9,357.0
363,3.993220338983051,590,7.4,15.0
364,3.817136507193824,42745,8.3,14708.0
365,3.1569086651053864,1708,6.3,300.0
366,2.9780075187969923,2660,6.4,981.0
367,3.183039195863782,34621,6.9,8025.0
368,3.412776934749621,16475,6.8,1152.0
369,3.288613861386138,1010,6.5,37.0
370,2.9788651669293595,13958,6.5,1474.0
371,3.2587484035759897,3915,6.6,131.0
372,3.2500337154416723,7415,6.6,529.0
373,3.76906584992343,3265,6.6,208.0
374,2.4218655360387644,4953,5.8,1741.0
375,3.280434782608696,230,5.9,13.0
376,3.2755446308077887,10374,6.4,646.0
377,3.481247881458525,41302,7.1,4659.0
378,3.1331764705882352,2125,5.8,72.0
379,2.7242633345766505,5362,5.9,840.0
380,3.4922731744774795,41673,7.0,3047.0
381,3.390638963360143,4476,6.5,245.0
382,3.0406736261571794,5077,6.1,667.0
383,3.199915200339199,4717,6.7,607.0
384,2.951008645533141,694,4.7,45.0
385,3.556034482758621,116,6.6,8.0
386,2.8213213213213213,333,5.5,63.0
387,2.6527777777777777,648,5.9,80.0
388,3.5392927308447937,509,4.9,7.0
389,3.475935828877005,187,6.3,54.0
390,3.4072532699167657,841,6.5,209.0
391,3.1876574307304786,397,6.8,29.0
392,3.349802371541502,253,6.7,27.0
393,1.9003150315031505,2222,4.5,1090.0
394,3.3143939393939394,132,6.7,40.0
395,3.1666666666666665,12,0.0,0.0
396,2.484375,32,5.4,18.0
397,2.1193181818181817,88,3.9,24.0
398,3.451923076923077,52,7.5,21.0
399,2.25,10,6.7,3.0
